code,name,price,change_pct,volume,amount,sector,turnover,main_inflow,trend,capital,risk,quality,lia,market_cap,pe,source,updated_at
300136,信维通信,102.6,1.57,65021437.0,6769447830.52,重点观察,0,0,0,0,0,0,0,0,0,新浪重点股实时,2026-07-05 11:41:14
300762,上海瀚讯,46.4,5.45,58236364.0,2690528006.75,重点观察,0,0,0,0,0,0,0,0,0,新浪重点股实时,2026-07-05 11:41:14
603308,应流股份,60.78,3.19,20527236.0,1254562059.0,重点观察,0,0,0,0,0,0,0,0,0,新浪重点股实时,2026-07-05 11:41:14
688008,澜起科技,266.8,-0.87,72375010.0,19465895835.0,重点观察,0,0,0,0,0,0,0,0,0,新浪重点股实时,2026-07-05 11:41:14
688387,信科移动,21.15,10.85,108020774.0,2210914373.0,重点观察,0,0,0,0,0,0,0,0,0,新浪重点股实时,2026-07-05 11:41:14
300059,东方财富,21.06,1.59,430136567.0,9011119221.8,重点观察,0,0,0,0,0,0,0,0,0,新浪重点股实时,2026-07-05 11:41:14
300342,天银机电,49.58,8.44,40503103.0,1975314076.28,重点观察,0,0,0,0,0,0,0,0,0,新浪重点股实时,2026-07-05 11:41:14
688568,中科星图,41.82,4.92,16294299.0,673766058.0,重点观察,0,0,0,0,0,0,0,0,0,新浪重点股实时,2026-07-05 11:41:14
